ArtNr,Label,Hersteller,Size,Hahnloch,Ueberlauf,Ablage
1519 882.000.000,"Montagepauschale Duscholux, ab 125,1 cm, für freistehende Seitenwand Duscholux Air, ab 125,1 cm oder höher als 210 cm, Nettobetrag",Andere,,,,

1519 990.000.000,"Massaufnahme Trennwände Duscholux, für 1 - 3 Trennwände pro Objekt, Nettobetrag",Andere,,,,

1519 991.000.000,"Anfahrtspauschale Duscholux, für 1 - 3 Trennwände pro Objekt, Nettobetrag",Andere,,,,

1514 485.000.119,"Freistehende Seitenwand Duscholux Air 2, Breite bis 125 cm, Band links, für UP- Wandprofil, Höhe 210 cm, (ohne Aufpreis für Höhe bis 220 cm), ohne Unterputzprofil, ab Breite 150,1 cm mit Traverse Echtglas klar CareTec Pro",Andere,,,,

1519 882.000.000,"Montagepauschale Duscholux, ab 125,1 cm, für freistehende Seitenwand Duscholux Air, ab 125,1 cm oder höher als 210 cm, Nettobetrag",Andere,,,,

1519 881.000.000,"Montagepauschale Duscholux, bis 125 cm, für freistehende Seitenwand Duscholux Air, bis Breite 125 cm und Höhe 210 cm, Nettobetrag",Andere,,,,

1519 991.000.000,"Anfahrtspauschale Duscholux, für 1 - 3 Trennwände pro Objekt, Nettobetrag",Andere,,,,

1519 990.000.000,"Massaufnahme Trennwände Duscholux, für 1 - 3 Trennwände pro Objekt, Nettobetrag",Andere,,,,

1514 416.591.119,"Freistehende Seitenwand Duscholux Air 2, Breite bis 200 cm, Band rechts, mit Aufputz- Wandprofil, Höhe 210 cm, (ohne Aufpreis für Höhe bis 220 cm), ab Breite 150,1 cm mit Traverse Silbereloxiert Echtglas klar CareTec Pro",Andere,,,,

1519 881.000.000,"Montagepauschale Duscholux, bis 125 cm, für freistehende Seitenwand Duscholux Air, bis Breite 125 cm und Höhe 210 cm, Nettobetrag",Andere,,,,

1519 882.000.000,"Montagepauschale Duscholux, ab 125,1 cm, für freistehende Seitenwand Duscholux Air, ab 125,1 cm oder höher als 210 cm, Nettobetrag",Andere,,,,

1519 990.000.000,"Massaufnahme Trennwände Duscholux, für 1 - 3 Trennwände pro Objekt, Nettobetrag",Andere,,,,

1519 991.000.000,"Anfahrtspauschale Duscholux, für 1 - 3 Trennwände pro Objekt, Nettobetrag",Andere,,,,

1514 036.535.119,"Freistehende Seitenwand Bella Vita 3 Walk-in Massanfertigung, mit Traverse und Wandanschlussprofil Band rechts Höhe - 210 cm, Breite - 120 cm Schwarz matt Echtglas klar CareTec Pro",Andere,,,,

1514 011.535.119,"Freistehende Seitenwand Duscholux Bella Vita 3 Walk-in Band links, Höhe 200 cm Breite 100 cm, mit Traverse und Wandanschlussprofil für Wannenmontage Schwarz matt Echtglas klar CareTec Pro",Andere,,,,

1519 862.000.000,"Montagepauschale Duscholux für freistehende Seitenwand Bella Vita 3 Walk-in bis Breite 125 cm bis Höhe 210 cm Nettobetrag",Andere,,,,

1519 990.000.000,"Massaufnahme Trennwände Duscholux, für 1 - 3 Trennwände pro Objekt, Nettobetrag",Andere,,,,

1519 991.000.000,"Anfahrtspauschale Duscholux, für 1 - 3 Trennwände pro Objekt, Nettobetrag",Andere,,,,

1512 878.535.119,"Freistehende Seitenwand Duscholux Walk-in Optima 6 mit Traverse und Wandprofil Höhe 200 cm, Breite 140 cm (138,5 - 140,5 cm) Schwarz matt Echtglas klar CareTec Pro",Andere,,,,

1519 853.000.000,"Montagepauschale Duscholux für Optima 6 Walk-in Nettobetrag Walk-in",Andere,,,,

1519 990.000.000,"Massaufnahme Trennwände Duscholux, für 1 - 3 Trennwände pro Objekt, Nettobetrag",Andere,,,,

1519 991.000.000,"Anfahrtspauschale Duscholux, für 1 - 3 Trennwände pro Objekt, Nettobetrag",Andere,,,,

1514 017.535.119,"Freistehende Seitenwand Duscholux Bella Vita 3 Walk-in Band links, Höhe 200 cm Breite 120 cm, mit Traverse und Wandanschlussprofil für Wannenmontage Schwarz matt Echtglas klar CareTec Pro",Andere,,,,

1514 033.536.119,"Freistehende Seitenwand Duscholux Bella Vita 3 Walk-in Band links, Höhe - 210 cm Breite - 120 cm, mit Traverse und Wandanschlussprofil Dekor Rahmen, Massanfertigung Weiss matt Echtglas klar CareTec Pro",Andere,,,,

1514 008.535.119,"Freistehende Seitenwand Duscholux Bella Vita 3 Walk-in Band rechts, Höhe 200 cm Breite 100 cm, mit Traverse und Wandanschlussprofil mit Dekor Gitter aufgeteilt in 15 Felder für Wannenmontage Schwarz matt Echtglas klar CareTec Pro",Andere,,,,

1519 862.000.000,"Montagepauschale Duscholux für freistehende Seitenwand Bella Vita 3 Walk-in bis Breite 125 cm bis Höhe 210 cm Nettobetrag",Andere,,,,

1519 990.000.000,"Massaufnahme Trennwände Duscholux, für 1 - 3 Trennwände pro Objekt, Nettobetrag",Andere,,,,

1519 991.000.000,"Anfahrtspauschale Duscholux, für 1 - 3 Trennwände pro Objekt, Nettobetrag",Andere,,,,

1512 875.591.118,"Freistehende Seitenwand Duscholux Walk-in Optima 6 mit Traverse und Wandprofil Höhe 200 cm, Breite 100 cm (98,5 - 100,5 cm) Silbereloxiert Echtglas klar",Andere,,,,

1519 853.000.000,"Montagepauschale Duscholux für Optima 6 Walk-in Nettobetrag Walk-in",Andere,,,,

1519 990.000.000,"Massaufnahme Trennwände Duscholux, für 1 - 3 Trennwände pro Objekt, Nettobetrag",Andere,,,,

1519 991.000.000,"Anfahrtspauschale Duscholux, für 1 - 3 Trennwände pro Objekt, Nettobetrag",Andere,,,,

1514 005.535.119,"Freistehende Seitenwand Duscholux Bella Vita 3 Walk-in Band links, Höhe 200 cm Breite 90 cm, mit Traverse und Wandanschlussprofil für Wannenmontage Schwarz matt Echtglas klar CareTec Pro",Andere,,,,

1519 862.000.000,"Montagepauschale Duscholux für freistehende Seitenwand Bella Vita 3 Walk-in bis Breite 125 cm bis Höhe 210 cm Nettobetrag",Andere,,,,

1519 863.000.000,"Montagepauschale Duscholux für freistehende Seitenwand XL Bella Vita 3 Walk-in ab Breite 125,1 cm ab Höhe 210,1 cm Nettobetrag",Andere,,,,

1519 990.000.000,"Massaufnahme Trennwände Duscholux, für 1 - 3 Trennwände pro Objekt, Nettobetrag",Andere,,,,

1519 991.000.000,"Anfahrtspauschale Duscholux, für 1 - 3 Trennwände pro Objekt, Nettobetrag",Andere,,,,

1514 487.000.119,"Freistehende Seitenwand Duscholux Air 2, Breite bis 150 cm, Band links, für UP- Wandprofil, Höhe 210 cm, (ohne Aufpreis für Höhe bis 220 cm), ohne Unterputzprofil, ab Breite 150,1 cm mit Traverse Echtglas klar CareTec Pro",Andere,,,,

1519 882.000.000,"Montagepauschale Duscholux, ab 125,1 cm, für freistehende Seitenwand Duscholux Air, ab 125,1 cm oder höher als 210 cm, Nettobetrag",Andere,,,,

1519 881.000.000,"Montagepauschale Duscholux, bis 125 cm, für freistehende Seitenwand Duscholux Air, bis Breite 125 cm und Höhe 210 cm, Nettobetrag",Andere,,,,

1519 990.000.000,"Massaufnahme Trennwände Duscholux, für 1 - 3 Trennwände pro Objekt, Nettobetrag",Andere,,,,

1519 991.000.000,"Anfahrtspauschale Duscholux, für 1 - 3 Trennwände pro Objekt, Nettobetrag",Andere,,,,

1514 023.536.119,"Freistehende Seitenwand Duscholux Bella Vita 3 Walk-in Band links, Höhe 200 cm Breite 140 cm, mit Traverse und Wandanschlussprofil für Wannenmontage Weiss matt Echtglas klar CareTec Pro",Andere,,,,

1514 417.000.119,"Freistehende Seitenwand Duscholux Air 2, Breite bis 100 cm, Band links, für UP- Wandprofil, Höhe 210 cm, (ohne Aufpreis für Höhe bis 220 cm), ohne Unterputzprofil, ab Breite 150,1 cm mit Traverse Echtglas klar CareTec Pro",Andere,,,,

1519 881.000.000,"Montagepauschale Duscholux, bis 125 cm, für freistehende Seitenwand Duscholux Air, bis Breite 125 cm und Höhe 210 cm, Nettobetrag",Andere,,,,

1519 882.000.000,"Montagepauschale Duscholux, ab 125,1 cm, für freistehende Seitenwand Duscholux Air, ab 125,1 cm oder höher als 210 cm, Nettobetrag",Andere,,,,

1519 990.000.000,"Massaufnahme Trennwände Duscholux, für 1 - 3 Trennwände pro Objekt, Nettobetrag",Andere,,,,

1519 991.000.000,"Anfahrtspauschale Duscholux, für 1 - 3 Trennwände pro Objekt, Nettobetrag",Andere,,,,

1514 030.535.119,"Freistehende Seitenwand Duscholux Bella Vita 3 Walk-in Band rechts, Höhe 200 cm Breite 160 cm, mit Traverse und Wandanschlussprofil für Wannenmontage Schwarz matt Echtglas klar CareTec Pro",Andere,,,,

1514 010.536.119,"Freistehende Seitenwand Duscholux Bella Vita 3 Walk-in Band rechts, Höhe 200 cm Breite 100 cm, mit Traverse und Wandanschlussprofil mit Dekor Rahmen für Wannenmontage Weiss matt Echtglas klar CareTec Pro",Andere,,,,

1519 862.000.000,"Montagepauschale Duscholux für freistehende Seitenwand Bella Vita 3 Walk-in bis Breite 125 cm bis Höhe 210 cm Nettobetrag",Andere,,,,

1519 863.000.000,"Montagepauschale Duscholux für freistehende Seitenwand XL Bella Vita 3 Walk-in ab Breite 125,1 cm ab Höhe 210,1 cm Nettobetrag",Andere,,,,

1519 990.000.000,"Massaufnahme Trennwände Duscholux, für 1 - 3 Trennwände pro Objekt, Nettobetrag",Andere,,,,

1519 991.000.000,"Anfahrtspauschale Duscholux, für 1 - 3 Trennwände pro Objekt, Nettobetrag",Andere,,,,

1514 020.535.119,"Freistehende Seitenwand Duscholux Bella Vita 3 Walk-in Band rechts, Höhe 200 cm Breite 140 cm, mit Traverse und Wandanschlussprofil mit Dekor Gitter aufgeteilt in 15 Felder für Wannenmontage Schwarz matt Echtglas klar CareTec Pro",Andere,,,,

1514 034.536.119,"Freistehende Seitenwand Duscholux Bella Vita 3 Walk-in Band rechts, Höhe - 210 cm Breite - 120 cm, mit Traverse und Wandanschlussprofil Dekor Rahmen, Massanfertigung Weiss matt Echtglas klar CareTec Pro",Andere,,,,

1514 002.535.119,"Freistehende Seitenwand Duscholux Bella Vita 3 Walk-in Band rechts, Höhe 200 cm Breite 90 cm, mit Traverse und Wandanschlussprofil mit Dekor Gitter aufgeteilt in 15 Felder für Wannenmontage Schwarz matt Echtglas klar CareTec Pro",Andere,,,,

1519 862.000.000,"Montagepauschale Duscholux für freistehende Seitenwand Bella Vita 3 Walk-in bis Breite 125 cm bis Höhe 210 cm Nettobetrag",Andere,,,,

1519 863.000.000,"Montagepauschale Duscholux für freistehende Seitenwand XL Bella Vita 3 Walk-in ab Breite 125,1 cm ab Höhe 210,1 cm Nettobetrag",Andere,,,,

1519 990.000.000,"Massaufnahme Trennwände Duscholux, für 1 - 3 Trennwände pro Objekt, Nettobetrag",Andere,,,,

1519 991.000.000,"Anfahrtspauschale Duscholux, für 1 - 3 Trennwände pro Objekt, Nettobetrag",Andere,,,,

1514 041.536.119,"Freistehende Seitenwand Bella Vita 3 Walk-in Massanfertigung, mit Traverse und Wandanschlussprofil Band links Höhe - 210 cm, Breite - 160 cm Weiss matt Echtglas klar CareTec Pro",Andere,,,,

1514 003.535.119,"Freistehende Seitenwand Duscholux Bella Vita 3 Walk-in Band links, Höhe 200 cm Breite 90 cm, mit Traverse und Wandanschlussprofil mit Dekor Rahmen für Wannenmontage Schwarz matt Echtglas klar CareTec Pro",Andere,,,,

1519 862.000.000,"Montagepauschale Duscholux für freistehende Seitenwand Bella Vita 3 Walk-in bis Breite 125 cm bis Höhe 210 cm Nettobetrag",Andere,,,,

1519 863.000.000,"Montagepauschale Duscholux für freistehende Seitenwand XL Bella Vita 3 Walk-in ab Breite 125,1 cm ab Höhe 210,1 cm Nettobetrag",Andere,,,,

1519 990.000.000,"Massaufnahme Trennwände Duscholux, für 1 - 3 Trennwände pro Objekt, Nettobetrag",Andere,,,,

1519 991.000.000,"Anfahrtspauschale Duscholux, für 1 - 3 Trennwände pro Objekt, Nettobetrag",Andere,,,,

1512 873.591.118,"Freistehende Seitenwand Duscholux Walk-in Optima 6 mit Traverse und Wandprofil Höhe 200 cm, Breite 80 cm (78,5 - 80,5 cm) Silbereloxiert Echtglas klar",Andere,,,,

1519 853.000.000,"Montagepauschale Duscholux für Optima 6 Walk-in Nettobetrag Walk-in",Andere,,,,

1519 990.000.000,"Massaufnahme Trennwände Duscholux, für 1 - 3 Trennwände pro Objekt, Nettobetrag",Andere,,,,

1519 991.000.000,"Anfahrtspauschale Duscholux, für 1 - 3 Trennwände pro Objekt, Nettobetrag",Andere,,,,
